record_id,product_key,variation_layer
R00274,P0123,3
R00889,P0392,1
R00188,P0082,1
R00493,P0217,1
R01204,P0532,1
R00530,P0234,3
R00045,P0019,1
R00103,P0046,1
R00757,P0334,1
R00139,P0063,1
R00498,P0220,1
R01192,P0528,1
R00226,P0102,1
R01102,P0485,1
R00235,P0106,1
R01150,P0507,1
R00309,P0140,1
R01329,P0594,1
R00948,P0417,1
R00632,P0278,1
R01209,P0534,1
R00644,P0283,1
R01134,P0500,1
R00736,P0325,2
R00565,P0249,3
R00596,P0262,1
R00422,P0188,1
R00857,P0377,2
R00488,P0215,2
R00491,P0217,3
R00123,P0056,1
R01265,P0564,1
R00784,P0346,1
R00729,P0321,3
R00646,P0284,2
R00964,P0424,2
R00401,P0180,1
R00600,P0264,3
R01122,P0496,1
R01172,P0516,2
R01004,P0443,1
R01106,P0488,1
R01154,P0509,2
R00856,P0377,2
R00749,P0331,1
R01167,P0515,1
R00751,P0332,2
R00415,P0186,3
R00937,P0413,3
R00155,P0068,1
R00934,P0411,3
R01211,P0535,1
R01301,P0582,1
R00348,P0160,1
R00497,P0220,1
R01048,P0460,2
R00030,P0013,1
R00997,P0439,1
R00453,P0203,1
R00060,P0026,1
R01241,P0551,2
R00662,P0291,1
R00739,P0326,1
R01246,P0553,1
R00517,P0228,2
R00112,P0049,1
R00387,P0175,1
R00620,P0273,1
R00163,P0072,1
R00448,P0201,2
R01046,P0460,3
R00121,P0054,1
R00325,P0147,1
R00502,P0222,2
R00960,P0422,2
R00743,P0328,1
R00094,P0042,1
R00222,P0098,1
R00968,P0426,1
R00016,P0008,1
R00618,P0272,2
R01081,P0477,1
R00092,P0041,1
R00735,P0325,2
R00122,P0055,2
R00069,P0030,1
R00281,P0127,2
R00803,P0355,1
R00255,P0115,1
R00508,P0224,2
R00843,P0370,3
R00642,P0283,1
R00081,P0036,1
R00461,P0206,1
R00519,P0230,3
R01042,P0458,2
R00691,P0303,1
R00269,P0121,1
R00013,P0007,3
R00010,P0006,3
R01165,P0514,1
R00884,P0389,1
R00129,P0058,2
R00607,P0267,1
R00004,P0002,1
R01190,P0527,1
R01240,P0550,1
R00307,P0139,1
R01047,P0460,1
R01314,P0588,1
R01252,P0557,2
R00197,P0085,1
R00800,P0353,1
R01126,P0497,1
R00674,P0296,2
R00611,P0268,1
R00396,P0178,1
R00546,P0241,1
R00989,P0435,3
R01032,P0455,1
R01137,P0501,1
R00382,P0173,2
R00358,P0163,1
R00481,P0213,1
R00134,P0060,2
R01066,P0471,1
R00987,P0433,2
R00767,P0338,1
R00809,P0357,2
R01155,P0509,1
R00475,P0211,1
R00518,P0229,1
R00469,P0208,2
R00275,P0124,2
R00096,P0043,1
R00150,P0067,1
R00084,P0038,1
R00056,P0025,1
R01088,P0479,2
R01302,P0582,1
R00814,P0358,3
R00316,P0143,1
R01111,P0491,2
R01331,P0595,2
R00584,P0258,1
R01188,P0525,3
R00332,P0150,1
R00873,P0386,2
R00544,P0240,1
R00116,P0053,1
R00119,P0053,1
R00377,P0172,2
R00789,P0348,2
R00790,P0349,2
R00399,P0180,1
R00171,P0074,3
R00879,P0388,3
R01039,P0457,2
R00574,P0253,1
R00542,P0239,3
R00243,P0110,1
R00264,P0119,1
R01139,P0502,1
R00851,P0374,1
R00812,P0358,2
R01324,P0593,1
R01108,P0489,2
R01194,P0529,3
R00616,P0271,1
R01085,P0478,3
R00509,P0225,3
R00117,P0053,1
R00068,P0030,2
R00474,P0210,2
R01175,P0518,2
R00788,P0348,1
R00126,P0057,2
R00865,P0382,2
R00395,P0178,1
R01043,P0458,1
R00787,P0347,1
R00821,P0361,1
R00078,P0034,1
R01169,P0516,1
R01267,P0564,2
R00099,P0044,2
R00967,P0426,1
R01034,P0456,2
R01285,P0574,1
R00110,P0048,3
R01205,P0532,2
R00494,P0218,3
R01136,P0500,1
R01226,P0544,1
R01123,P0496,2
R00958,P0421,2
R00928,P0409,1
R00939,P0413,1
R00973,P0429,2
R00290,P0130,1
R00943,P0414,2
R00946,P0416,1
R00555,P0244,1
R00527,P0233,1
R00251,P0113,2
R01330,P0595,2
R01230,P0545,1
R00029,P0013,1
R00589,P0260,1
R00887,P0391,2
R01304,P0584,3
R00587,P0258,1
R01315,P0589,1
R00929,P0409,2
R00162,P0072,2
R01089,P0479,2
R01199,P0530,3
R00970,P0427,2
R01014,P0447,2
R00002,P0001,1
R01239,P0549,1
R00562,P0248,1
R00944,P0415,1
R00107,P0047,1
R00753,P0333,1
R01236,P0548,1
R00578,P0254,1
R00306,P0139,2
R01024,P0452,2
R01284,P0573,1
R00698,P0307,1
R01255,P0559,1
R01052,P0462,1
R00798,P0351,1
R01166,P0515,3
R00860,P0378,1
R00496,P0219,2
R01069,P0472,1
R00899,P0396,1
R00247,P0111,1
R01171,P0516,2
R00991,P0436,2
R00220,P0097,1
R00531,P0234,2
R00705,P0310,1
R01279,P0569,2
R00877,P0387,1
R01308,P0586,3
R00525,P0232,1
R00588,P0259,2
R00369,P0167,1
R00692,P0304,1
R00418,P0187,3
R00983,P0432,2
R00675,P0296,1
R01058,P0466,1
R00380,P0172,1
R00213,P0093,1
R00764,P0337,1
R00730,P0322,1
R00479,P0212,2
R00846,P0371,3
R01298,P0580,2
R01245,P0553,1
R01000,P0440,1
R00900,P0396,1
R01307,P0585,2
R00320,P0145,1
R00852,P0375,1
R01031,P0455,3
R00455,P0203,2
R00714,P0315,3
R01087,P0478,3
R00300,P0136,1
R00196,P0084,2
R00144,P0065,2
R00792,P0350,2
R00949,P0417,1
R00532,P0235,1
R01040,P0457,2
R00254,P0114,1
R00759,P0335,2
R00886,P0390,2
R00499,P0220,1
R01286,P0574,2
R00528,P0234,1
R00441,P0196,2
R01080,P0477,2
R01202,P0531,1
R00305,P0138,3
R00361,P0164,1
R00791,P0349,3
R00194,P0084,1
R00149,P0066,1
R01079,P0476,1
R00434,P0193,2
R00695,P0305,3
R00635,P0280,1
R00941,P0414,1
R01187,P0525,2
R00405,P0181,2
R00992,P0436,1
R00375,P0171,1
R00722,P0319,2
R01003,P0443,1
R00847,P0372,1
R00001,P0000,1
R01132,P0499,1
R00268,P0121,1
R00878,P0388,2
R00715,P0315,2
R00343,P0158,3
R00184,P0080,1
R01311,P0587,1
R00625,P0276,2
R00894,P0394,1
R01104,P0487,2
R01294,P0578,2
R00804,P0355,2
R00950,P0417,2
R00028,P0012,1
R00633,P0279,2
R01149,P0506,1
R00020,P0010,1
R01320,P0590,2
R00451,P0202,1
R00731,P0323,1
R00982,P0432,1
R00177,P0077,2
R01091,P0480,3
R00368,P0167,3
R00688,P0302,1
R00431,P0192,1
R01228,P0545,1
R00097,P0043,2
R00414,P0186,3
R00514,P0227,1
R00287,P0130,3
R00920,P0404,1
R00218,P0095,1
R00356,P0162,3
R00586,P0258,2
