record_id,price
R00009,617
R00017,12325
R00019,2780
R00020,402
R00027,18568
R00028,9159
R00037,839
R00041,12001
R00050,3779
R00057,2266
R00062,16455
R00067,2817
R00074,593
R00082,6540
R00091,3684
R00092,6122
R00099,7340
R00116,11320
R00122,22878
R00129,50692
R00135,7921
R00147,5813
R00148,11497
R00152,4434
R00160,2244
R00162,9841
R00171,101476
R00179,5607
R00180,5464
R00184,25649
R00200,10366
R00201,8138
R00202,829
R00209,3475
R00213,5398
R00224,12620
R00227,1414
R00230,26445
R00234,21484
R00236,12135
R00238,12528
R00241,13503
R00246,8807
R00251,4543
R00252,7792
R00256,8361
R00261,2675
R00275,1917
R00286,6229
R00294,940
R00297,3011
R00298,1318
R00320,3241
R00344,85799
R00356,8307
R00358,11700
R00368,4914
R00371,4209
R00373,4878
R00381,24967
R00384,14488
R00390,1006
R00396,478
R00399,15963
R00408,6574
R00415,2496
R00420,10359
R00423,16917
R00429,615
R00430,3130
R00431,3315
R00433,2293
R00435,992
R00436,17694
R00438,10487
R00440,7210
R00446,732
R00448,27532
R00452,9424
R00456,39944
R00469,56934
R00470,9788
R00493,13835
R00501,2942
R00513,12874
R00519,16201
R00522,3824
R00530,4915
R00531,21592
R00549,15706
R00551,3823
R00565,155284
R00569,11107
R00577,69287
R00582,10778
R00590,3689
R00593,497
R00599,1570
R00607,64243
R00610,1316
R00625,99653
R00629,39944
R00633,2193
R00636,102648
R00638,740
R00645,1830
R00647,4052
R00653,640
R00654,5320
R00660,3450
R00667,47660
R00670,3453
R00678,34803
R00683,20097
R00703,4067
R00711,2745
R00713,8206
R00730,43139
R00734,17014
R00738,8899
R00742,103509
R00743,2194
R00745,14866
R00756,5058
R00759,17329
R00770,18403
R00771,9035
R00785,4899
R00790,11114
R00797,43281
R00799,4963
R00803,24714
R00804,7446
R00812,6176
R00825,755
R00829,7507
R00839,29310
R00845,541
R00849,33122
R00850,869
R00855,41563
R00863,5670
R00874,90118
R00875,8585
R00896,6612
R00902,1969
R00919,8753
R00929,1604
R00932,12756
R00941,1421
R00944,10531
R00945,1899
R00947,88748
R00951,7345
R00955,2299
R00963,2969
R00964,911
R00979,13272
R00981,913
R00984,5978
R01009,722
R01013,6436
R01015,15487
R01024,3460
R01026,19940
R01030,18338
R01031,2632
R01037,32486
R01039,47308
R01045,28011
R01049,3420
R01061,2220
R01077,17427
R01080,672
R01083,55571
R01094,3836
R01096,3894
R01097,4674
R01114,14996
R01121,26253
R01131,8280
R01135,606
R01138,64100
R01145,2290
R01152,19279
R01154,10129
R01165,4029
R01172,1134
R01182,4700
R01189,42587
R01192,420
R01224,403
R01227,2617
R01232,217283
R01234,14417
R01237,15021
R01246,3923
R01251,16603
R01258,30039
R01265,1531
R01267,11083
R01272,5530
R01277,25638
R01283,132954
R01290,2185
R01307,35873
R01327,2036
R01334,18247
R01338,22008
R01342,14512
R01350,4928
R01361,2257
R01363,37569
R01368,11449
R01375,75983
R01403,1880
R01404,25895
R01413,10370
R01415,4985
R01420,18449
R01422,18965
R01439,2832
R01471,2833
R01491,2696
R01496,5023
R01510,9771
R01515,125509
R01516,2592
R01519,12830
R01520,7263
R01529,97122
R01530,54345
R01541,96518
R01545,34430
R01553,9137
R01563,6118
R01575,31115
R01585,6849
R01586,3561
R01588,22157
R01590,2069
R01597,22966
R01608,46528
R01609,2575
R01628,55535
R01630,8215
R01631,7302
R01634,2827
R01647,486
R01652,5326
R01653,145235
R01666,2678
R01667,3299
R01673,11486
R01680,4837
R01691,3002
R01695,38964
R01699,5547
R01701,3651
R01705,22705
R01714,13285
R01716,6773
R01718,1597
R01721,2774
R01734,3877
R01741,2681
R01743,648
R01749,8276
R01756,45932
R01757,14582
R01760,2184
R01763,4963
R01771,11768
R01775,106784
R01780,26103
R01792,1032
R01794,14466
R01799,49260
R01801,17141
R01802,1046
R01804,8128
R01805,30989
R01806,5885
R01825,6167
R01832,8755
R01835,107860
R01848,64428
R01853,3003
R01854,4855
R01869,6480
R01874,5326
R01877,6705
R01895,28785
R01905,84493
R01915,26686
R01932,15820
R01936,21504
R01937,46599
R01939,100109
R01942,7619
R01944,4435
R01946,3864
R01951,2195
R01960,88087
R01963,7155
R01965,2398
R01974,2809
R01980,70863
R01988,201688
R01996,2887
R02006,136149
R02010,13876
R02028,17143
R02035,23517
R02042,453
R02060,116397
R02063,23251
R02065,1149
R02067,9511
R02075,21678
R02079,5018
R02085,2562
R02087,4193
R02097,2620
R02102,24196
R02124,12535
R02131,17270
R02134,1042
R02143,55667
R02153,13984
R02164,54726
