question_id,answer_passage_id,answer_value,answerable
Q0238,K00408,371,1
Q0255,K00421,12,1
Q0589,K00705,6,1
Q0475,K00072,234,1
Q0092,K00034,1,1
Q0225,K00674,3,1
Q0525,K00180,137,1
Q0113,K00050,1,1
Q0281,K00015,14,1
Q0398,K00488,416,1
Q0399,K00335,8,1
Q0375,K00667,14,1
Q0314,K00031,14,1
Q0196,K00681,36,1
Q0147,K00033,18,1
Q0497,K00501,12,1
Q0192,K00372,334,1
Q0030,,,0
Q0064,K00261,12,1
Q0221,K00211,8,1
Q0296,K00515,7,1
Q0189,K00242,1,1
Q0143,,,0
Q0564,,,0
Q0258,K00275,8,1
Q0256,,,0
Q0180,K00053,18,1
Q0597,K00650,2,1
Q0118,K00284,231,1
Q0011,K00266,3,1
Q0419,K00233,36,1
Q0334,K00349,36,1
Q0558,,,0
Q0112,K00636,197,1
Q0495,K00169,12,1
Q0223,K00572,217,1
Q0543,,,0
Q0234,K00287,7,1
Q0573,K00537,6,1
Q0593,,,0
Q0473,K00610,1,1
Q0028,K00009,24,1
Q0100,K00173,36,1
Q0448,K00673,36,1
Q0374,K00412,451,1
Q0394,K00015,14,1
Q0547,K00550,2,1
Q0471,K00602,1,1
Q0338,K00665,18,1
Q0054,K00196,192,1
Q0048,K00186,3,1
Q0209,K00411,14,1
Q0027,,,0
Q0321,K00042,1,1
Q0303,K00589,12,1
Q0385,K00480,233,1
Q0099,K00213,24,1
Q0284,K00367,7,1
Q0569,K00365,6,1
Q0025,K00638,2,1
Q0278,K00625,18,1
Q0106,K00499,14,1
Q0360,K00072,234,1
Q0053,K00241,6,1
Q0526,K00253,36,1
Q0353,K00191,8,1
Q0228,K00184,143,1
Q0015,K00145,12,1
Q0423,K00478,3,1
Q0077,,,0
Q0199,K00029,24,1
Q0519,K00549,12,1
Q0229,K00428,405,1
Q0450,K00079,14,1
Q0007,K00707,14,1
Q0194,K00589,12,1
Q0231,K00172,414,1
Q0406,K00674,3,1
Q0073,,,0
Q0415,K00290,3,1
Q0074,K00380,139,1
Q0509,K00661,36,1
Q0584,K00558,1,1
Q0173,,,0
Q0400,K00518,1,1
Q0250,,,0
Q0380,K00683,7,1
Q0195,K00049,12,1
Q0511,K00053,18,1
Q0409,K00579,8,1
Q0184,K00527,30,1
Q0010,,,0
Q0540,K00500,245,1
Q0594,K00363,7,1
Q0140,K00062,1,1
Q0413,K00416,379,1
Q0311,K00303,7,1
Q0492,K00407,8,1
Q0246,K00207,14,1
Q0416,K00403,14,1
Q0557,K00098,1,1
Q0001,K00086,1,1
Q0155,K00105,6,1
Q0337,K00258,1,1
Q0521,K00172,414,1
Q0568,K00034,1,1
Q0277,K00167,30,1
Q0351,K00281,36,1
Q0215,K00302,2,1
Q0319,K00240,439,1
Q0474,K00247,30,1
Q0083,K00261,12,1
Q0117,K00559,8,1
Q0002,,,0
Q0168,K00122,1,1
Q0499,K00597,12,1
Q0478,K00648,181,1
Q0264,K00307,8,1
Q0116,K00651,7,1
Q0346,K00494,1,1
Q0198,K00610,1,1
Q0102,,,0
Q0581,K00045,24,1
Q0412,K00586,1,1
Q0342,K00176,295,1
Q0188,K00040,215,1
Q0532,,,0
Q0482,K00327,7,1
Q0336,K00594,2,1
Q0174,K00533,18,1
Q0130,K00573,6,1
Q0389,K00297,18,1
Q0063,K00641,12,1
Q0206,K00150,1,1
Q0041,K00104,320,1
Q0299,K00314,1,1
Q0545,K00584,124,1
Q0592,K00580,245,1
Q0451,K00255,8,1
Q0291,K00584,124,1
Q0491,K00329,24,1
Q0044,,,0
Q0340,K00160,152,1
Q0580,,,0
Q0579,K00258,1,1
Q0515,K00087,14,1
Q0047,K00719,8,1
Q0331,K00501,12,1
Q0057,K00386,1,1
Q0463,K00621,36,1
