record_id,brand,model_code,color,bio,target
T00000,ハヤブサ,J495-28,ブラック,O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-BRAND I-BRAND I-BRAND I-BRAND O O O O O B-COLOR I-COLOR I-COLOR I-COLOR,ハヤブサ|J495-28|ブラック
T00001,KURO,L339-24,グリーン,B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-BRAND I-BRAND I-BRAND I-BRAND O O O O O O,KURO|L339-24|グリーン
T00002,シラユキ,D691-53,グリーン,O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR O B-BRAND I-BRAND I-BRAND I-BRAND,シラユキ|D691-53|グリーン
T00003,TSUBAKI,W913-84,ネイビー,O O O O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O O O O O,TSUBAKI|W913-84|ネイビー
T00004,ミドリワークス,S131-98,グリーン,B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O O O O O O O B-COLOR I-COLOR I-COLOR I-COLOR,ミドリワークス|S131-98|グリーン
T00005,ゲンブ,W967-26,ネイビー,B-BRAND I-BRAND I-BRAND O O O O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR,ゲンブ|W967-26|ネイビー
T00006,シラユキ,O545-70,レッド,B-COLOR I-COLOR I-COLOR O B-BRAND I-BRAND I-BRAND I-BRAND O O O O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,シラユキ|O545-70|レッド
T00007,ノースピーク,K511-31,ブラック,O O O O O O O O O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR,ノースピーク|K511-31|ブラック
T00008,TSUBAKI,F687-84,ホワイト,O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR O B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND,TSUBAKI|F687-84|ホワイト
T00009,ノースピーク,O712-81,グリーン,B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O O O O B-COLOR I-COLOR I-COLOR I-COLOR B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND,ノースピーク|O712-81|グリーン
T00010,オオゾラ,W676-98,ブラック,B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL B-COLOR I-COLOR I-COLOR I-COLOR O O O B-BRAND I-BRAND I-BRAND I-BRAND,オオゾラ|W676-98|ブラック
T00011,シラユキ,H463-83,ネイビー,O O O O O O O O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR,シラユキ|H463-83|ネイビー
T00012,ソライロ,Y482-13,レッド,O O O O B-COLOR I-COLOR I-COLOR O B-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,ソライロ|Y482-13|レッド
T00013,ハヤブサ,H980-68,グリーン,B-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR O O O O O O,ハヤブサ|H980-68|グリーン
T00014,KURO,S611-56,ネイビー,O O O O O B-COLOR I-COLOR I-COLOR I-COLOR B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O B-BRAND I-BRAND I-BRAND I-BRAND,KURO|S611-56|ネイビー
T00015,,D849-60,ホワイト,O O O O O O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR,|D849-60|ホワイト
T00016,ノースピーク,C785-33,ネイビー,B-COLOR I-COLOR I-COLOR I-COLOR B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O O O,ノースピーク|C785-33|ネイビー
T00017,アカネ電機,H977-21,ブラック,B-COLOR I-COLOR I-COLOR I-COLOR B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,アカネ電機|H977-21|ブラック
T00018,ミドリワークス,A541-50,シルバー,O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O O B-COLOR I-COLOR I-COLOR I-COLOR,ミドリワークス|A541-50|シルバー
T00019,,A983-36,ネイビー,O O O O O O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,|A983-36|ネイビー
T00020,,S260-70,グリーン,O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O B-COLOR I-COLOR I-COLOR I-COLOR,|S260-70|グリーン
T00021,アカネ電機,H240-25,グリーン,O O O O B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,アカネ電機|H240-25|グリーン
T00022,ミドリワークス,G100-23,ホワイト,B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O O O O B-COLOR I-COLOR I-COLOR I-COLOR,ミドリワークス|G100-23|ホワイト
T00023,KURO,V529-32,ホワイト,B-COLOR I-COLOR I-COLOR I-COLOR B-BRAND I-BRAND I-BRAND I-BRAND O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,KURO|V529-32|ホワイト
T00024,ハヤブサ,M782-83,ホワイト,O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-BRAND I-BRAND I-BRAND I-BRAND O B-COLOR I-COLOR I-COLOR I-COLOR,ハヤブサ|M782-83|ホワイト
