item_id,category,brand,condition,shipping,listed_at,description_len,views,price
tr_00000,ファッション,brand_12,傷や汚れあり,1,2026-04-18,537.0,314,5364
tr_00001,ファッション,brand_15,ほぼ新品,1,2026-04-09,150.0,78,0
tr_00002,ファッション,brand_16,新品,0,2026-03-31,514.0,50,6622
tr_00003,家電,brand_05,ほぼ新品,0,2026-03-25,20.0,96,27806
tr_00004,家電,brand_12,全体的に状態が悪い,1,2026-03-20,264.0,99,11835
tr_00005,ファッション,brand_11,全体的に状態が悪い,1,2026-01-18,457.0,40,2546
tr_00006,ファッション,brand_00,傷や汚れあり,0,2026-02-16,277.0,133,2618
tr_00007,本・音楽,brand_00,新品,0,2026-03-17,548.0,381,1792
tr_00008,家電,brand_05,ほぼ新品,1,2026-02-19,365.0,154,31004
tr_00009,ファッション,brand_01,ほぼ新品,1,2026-02-12,463.0,33,3660
tr_00010,ホビー,brand_17,新品,1,2026-03-12,183.0,173,5660
tr_00011,家電,brand_17,傷や汚れあり,0,2026-01-03,312.0,164,14894
tr_00012,スポーツ,brand_07,傷や汚れあり,0,2026-03-05,454.0,72,6230
tr_00013,スポーツ,brand_07,ほぼ新品,0,2026-03-01,203.0,186,6474
tr_00014,ホビー,brand_09,傷や汚れあり,1,2026-03-20,320.0,83,4353
tr_00015,ファッション,brand_17,全体的に状態が悪い,1,2026-03-27,92.0,31,4440
tr_00016,ファッション,brand_12,ほぼ新品,1,2026-02-02,220.0,98,3817
tr_00017,ファッション,brand_11,ほぼ新品,1,2026-02-11,284.0,44,2288
tr_00018,スポーツ,brand_11,全体的に状態が悪い,0,2026-02-07,,66,12676
tr_00019,本・音楽,,ほぼ新品,0,2026-02-06,544.0,117,1432
tr_00020,ホビー,brand_19,ほぼ新品,0,2026-03-15,327.0,250,15835
tr_00021,ホビー,brand_06,全体的に状態が悪い,0,2026-03-02,154.0,270,2563
tr_00022,ファッション,brand_19,新品,1,2026-01-13,236.0,39,8857
tr_00023,家電,brand_09,新品,1,2026-03-11,532.0,112,31902
tr_00024,家電,brand_11,傷や汚れあり,0,2026-04-29,243.0,29,10664
tr_00025,ファッション,brand_19,全体的に状態が悪い,0,2026-02-26,138.0,50,3432
tr_00026,スポーツ,brand_06,ほぼ新品,0,2026-02-18,,69,8137
tr_00027,本・音楽,brand_02,傷や汚れあり,1,2026-03-22,218.0,65,1131
tr_00028,家電,brand_10,ほぼ新品,1,2026-02-14,398.0,95,42125
tr_00029,ファッション,brand_19,ほぼ新品,1,2026-04-18,96.0,138,8634
tr_00030,家電,brand_14,全体的に状態が悪い,1,2026-04-10,538.0,55,9939
tr_00031,ホビー,brand_01,ほぼ新品,0,2026-01-12,298.0,166,11774
tr_00032,家電,brand_03,ほぼ新品,1,2026-02-04,50.0,64,12623
tr_00033,スポーツ,brand_02,新品,0,2026-02-08,176.0,53,19349
tr_00034,ホビー,brand_12,ほぼ新品,1,2026-03-29,143.0,208,9164
tr_00035,ファッション,brand_06,ほぼ新品,1,2026-03-02,127.0,37,2691
tr_00036,ファッション,brand_13,ほぼ新品,1,2026-02-15,374.0,128,7333
tr_00037,スポーツ,brand_15,傷や汚れあり,0,2026-01-02,331.0,35,14058
tr_00038,スポーツ,brand_11,ほぼ新品,1,2026-04-17,597.0,48,12765
tr_00039,家電,brand_11,ほぼ新品,0,2026-03-01,318.0,140,14779
tr_00040,ファッション,brand_03,全体的に状態が悪い,0,2026-04-27,67.0,127,2984
tr_00041,本・音楽,brand_13,ほぼ新品,0,2026-03-03,81.0,127,3002
tr_00042,ホビー,brand_06,ほぼ新品,1,2026-01-19,86.0,55,13733
tr_00043,ファッション,brand_13,ほぼ新品,0,2026-03-10,505.0,28,5273
tr_00044,スポーツ,brand_02,ほぼ新品,1,2026-01-31,394.0,181,13419
tr_00045,ファッション,brand_14,傷や汚れあり,0,2026-03-21,198.0,176,4342
tr_00046,ファッション,brand_03,傷や汚れあり,0,2026-03-28,175.0,28,6393
tr_00047,ファッション,brand_05,ほぼ新品,0,2026-04-02,132.0,50,6301
tr_00048,ホビー,brand_07,全体的に状態が悪い,1,2026-03-27,374.0,174,5372
tr_00049,ホビー,brand_11,新品,1,2026-02-14,77.0,261,12037
