listing_id,title,description,price,category
L02183,◆匿名配送◆初回特典 まとめ売り 状態良好🔥💯✨,状態良好な状態でお譲りします。お値段は¥１３５００になります。塗装済ですので気になる方はご検討ください。,13500,ホビー
L00556,限定版 ラジコン used,ギターです。used。500 円。箱あり。,500,ホビー
L00268,インバーター   冷蔵庫   傷あり,テレビです。傷あり。¥３９５００。動作確認済。,39500,家電
L03657,《まとめ買い歓迎》ﾚﾃﾞィｰｽ ｾｯﾄ 美品,"<br>美品な状態でお譲りします。お値段は24,200円になります。Mサイズですので気になる方はご検討ください。<br>",24200,ファッション
L02705,ペットなし   雑誌   ほぼ新品,"<br>レコードです。ほぼ新品。33,800円。初版。<br>",33800,本・音楽
L02611,《まとめ買い歓迎》静音 本体のみ 難あり,難ありな状態でお譲りします。お値段は¥3400になります。取説付ですので気になる方はご検討ください。,3400,家電
L04637,即決 ラジコン ほぼ新品,ほぼ新品な状態でお譲りします。お値段は19900yenになります。1/144ですので気になる方はご検討ください。,19900,ホビー
L01055,美品 付属品あり ほぼ新品🔥,&nbsp;ほぼ新品な状態でお譲りします。お値段は¥4600になります。リモコン付ですので気になる方はご検討ください。<br>,4600,家電
L00920,値下げ交渉可 本体のみ 美品⭐,"&nbsp;美品な状態でお譲りします。お値段は３４,３００円になります。トレーニングですので気になる方はご検討ください。<br>",34300,スポーツ
L00781,※返品不可箱あり 付属品あり 難あり🔥✨🎁,&nbsp;難ありな状態でお譲りします。お値段は¥11800になります。喫煙者なしですので気になる方はご検討ください。</b>,11800,スポーツ
L01187,!!値下げしました!!限定版   画材   傷あり,<br>傷ありな状態でお譲りします。お値段は¥１７３００になります。コレクションですので気になる方はご検討ください。</b>,17300,ホビー
L03147,★即日発送★硬式 まとめ売り ほぼ新品🎁,&nbsp;ほぼ新品な状態でお譲りします。お値段は¥２７００になります。部活ですので気になる方はご検討ください。</b>,2700,スポーツ
L01812,【送料無料】喫煙者なし 一式 used,&nbsp;usedな状態でお譲りします。お値段は31600yenになります。自宅保管ですので気になる方はご検討ください。<br>,31600,ファッション
L01681,1/144   フィギュア   傷あり,写真集です。傷あり。27500 円。未開封。,27500,ホビー
L01079,※返品不可古着 コート 状態良好,状態良好な状態でお譲りします。お値段は38600 円になります。Mサイズですので気になる方はご検討ください。,38600,ファッション
L01427,ﾘﾓｺﾝ付 炊飯器 難あり🔥,スピーカーです。難あり。¥22100。値下げ交渉可。,22100,家電
L01654,【最終値下げ】自宅保管   ジャンク品   状態良好,&nbsp;状態良好な状態でお譲りします。お値段は２５８００ｙｅｎになります。ヴィンテージですので気になる方はご検討ください。<br>,25800,ファッション
L04375,4K ｲﾔﾎﾝ 美品,美品な状態でお譲りします。お値段は¥37500になります。ペットなしですので気になる方はご検討ください。,37500,家電
