record_id,source,title,brand,price,product_key,variation_layer
R00274,site_B,ネイビー デイパック ノースピーク,ノースピーク,2826,P0123,3
R00889,site_C,【即日発送】オオゾラ掃除機A340-57ネイビー,オオゾラ,3634,P0392,1
R00188,site_E,B832-41スニーカーシラユキネイビー,シラユキ,10965,P0082,1
R00493,site_A,ブラック ミドリワークス 腕時計 Z82491,ミドリワークス,4133,P0217,1
R01204,site_B,◆正規品◆TSUBAKI W75426 ブラック ノートパソコン,TSUBAKI,9173,P0532,1
R00530,site_B,オオゾラレッドデイパック,オオゾラ,36764,P0234,3
R00045,site_C,B348-66シルバー冷蔵庫ミドリワークス,ミドリワークス,11805,P0019,1
R00103,site_C,B125-95 空気清浄機 ゲンブ シルバー,ゲンブ,20184,P0046,1
R00757,site_D,掃除機 H950-72 ゲンブ ホワイト,ゲンブ,6984,P0334,1
R00139,site_A,F21543 シラユキ ネイビー 空気清機,シラユキ,18929,P0063,1
R00498,site_E,ワイヤレスヤイホン シラユキ ネイビー Ａ９７７－３９,,12598,P0220,1
R01192,site_E,ネイビー Z153-72 シラユキ 腕時計,シラユキ,21427,P0528,1
R00226,site_A,腕時計 レッド オオゾラ Z961-49,,6999,P0102,1
R01102,site_C,スニーカー Ｇ４９６－８３ ゲンブ ブラック,ゲンブ,29334,P0485,1
R00235,site_A,アカネ電機Ｉ５６３－２７シルバーワイヤレスイヤホン,アカネ電機,19764,P0106,1
R01150,site_E,ホワイト ハヤブサ 洗濯機 Ｗ９５３－２８,ハヤブサ,70626,P0507,1
R00309,site_B,ハヤブサ 腕時計 C29176 ブラック,ハヤブサ,5933,P0140,1
R01329,site_C,◆正規品◆ワイヤレスイヤホン ブラック シラユキ M85320,,9501,P0594,1
R00948,site_E,ブラック O605-31 ノースピーク ノートパソコン,ノースピーク,13337,P0417,1
R00632,site_D,炊飯器ブラックＫ３７６－３５オオゾラ,オオゾラ,8598,P0278,1
R01209,site_E,ゲンブ H49490 液晶テレビ ブラック,ゲンブ,18232,P0534,1
R00644,site_A,【即日発送】ネイビー N69038 ノートパソコン ミドリワークス,ミドリワークス,11379,P0283,1
R01134,site_E,【即日発送】ブラックハヤブサS48925スニーカー,,21713,P0500,1
R00736,site_B,洗濯機S930-40ゲンブ,ゲンブ,24157,P0325,2
R00565,site_C,ソライロ Ｕ９０７－９６ レッド リストウォッチ,ソライロ,11173,P0249,3
R00596,site_B,【送料無料】アカネ電機 リュックサック Ｎ８５３－５２ ホワイト,アカネ電機,20447,P0262,1
R00422,site_A,腕時計 アカネ電機 シルバー ６Ｆ８８８１,アカネ電機,2704,P0188,1
R00857,site_C,D344-15 ネイビー 電子レンジ ハヤブサ,,12018,P0377,2
R00488,site_B,ウォッチネイビーノースピークZ409-92,ノースピーク,8557,P0215,2
R00491,site_C,リストウォッチ ミドリワークス ブラック,ミドリワークス,3977,P0217,3
R00123,site_A,《アウトレット》ソライロ イビー P242-55 電子レンジ,ソライロ,24074,P0056,1
R01265,site_A,シルバー リュックサック オオゾラ K38237,オオゾラ,22802,P0564,1
R00784,site_D,D829-75 ブラック ソライロ 洗濯機,ソライロ,24590,P0346,1
R00729,site_C,ホワイト 無線イヤフォン ゲンブ,ゲンブ,18239,P0321,3
R00646,site_A,S876-56 ネイビー バックパック ノースピーク,,13840,P0284,2
R00964,site_C,腕時計 TSUBAKI W420-10,TSUBAKI,7044,P0424,2
R00401,site_C,D202-97 ネイビー 冷蔵庫 シラユキ,シラユキ,20816,P0180,1
R00600,site_A,ネイー KURO LEDテレビ D362-31,KURO,51662,P0264,3
R01122,site_D,★新品未使用★P178-82 電子レンジ シルバー オオゾラ,オオゾラ,10891,P0496,1
R01172,site_D,ブラックミドリワークススニーカーB772-65,ミドリワークス,24206,P0516,2
R01004,site_C,ミドリワークス L488-24 ネイビー 電子レンジ,ミドリワークス,24759,P0443,1
R01106,site_D,W97317 オオゾラ ブラック 洗濯機,オオゾラ,14773,P0488,1
R01154,site_D,Ｎ２０３－５２ 掃除機 ＫＵＲＯ,KURO,15255,P0509,2
R00856,site_B,D34415 ハヤブサ 電子レンジ,ハヤブサ,11279,P0377,2
R00749,site_C,★新品未使用★K73078ブラックソライロ空気清浄機,ソライロ,5945,P0331,1
R01167,site_C,ブラックTSUBAKI洗濯機F924-14,TSUBAKI,59200,P0515,1
R00751,site_A,ノートパソコン ソライロ P98040 レッド,ソライロ,18821,P0332,2
R00415,site_E,ブラック シラユキ マイクロウェーブ,シラユキ,54087,P0186,3
R00937,site_C,リストウォッチ ハヤブサ ネイビー,ハヤブサ,9105,P0413,3
R00155,site_A,★新品未使用★ノースピーク E73395 腕時計 ネイビー,,3432,P0068,1
R00934,site_B,ブラック ノースーク エアクリーナー,ノースピーク,12346,P0411,3
R01211,site_B,【送料無料】W200-29 ネイビー 掃除機 オオゾラ,オオゾラ,38745,P0535,1
R01301,site_C,レッド リュックサック H682-97 KURO,KURO,27727,P0582,1
R00348,site_E,ノートパソコン S24778 ハヤブサ ホワイト,ハヤブサ,9183,P0160,1
R00497,site_A,ネイビー シラユキ ワイヤレスイヤホン A97739,シラユキ,10001,P0220,1
R01048,site_B,シラユキ ノートパソコン U67057 ネイビー,シラユキ,11466,P0460,2
R00030,site_A,ミドリワークス レッド リュックサック F823-29,ミドリワークス,75614,P0013,1
R00997,site_C,リュックサック レッド Q186-25 アカネ電機,アカネ電機,8061,P0439,1
R00453,site_B,掃除機ハヤブサＢ４５５－４９レッド,ハヤブサ,35786,P0203,1
R00060,site_B,ミドリワークスホワイトＵ１０５－２８腕時計,,16334,P0026,1
R01241,site_D,★新品未使用★スニーカー Ｖ１０８－８６ ブラック オオゾラ,オオゾラ,19317,P0551,2
R00662,site_A,ホワイトKUROK66277リュックサック,KURO,37227,P0291,1
R00739,site_E,ソライロ L664-66 ホワイト 空気清浄機,ソライロ,31248,P0326,1
R01246,site_A,洗濯機 T565-23 ホワイト アカネ電機,アカネ電機,6513,P0553,1
