record_id,product_key,model_code,category,brand_tier,site,collected_at,condition,views,title_len,price
R00000,P01486,MC-3621-1486,ファッション,0,site_A,2026-01-12,傷や汚れあり,59,63,2426
R00001,P01269,MC-1771-1269,家電,2,site_D,2025-10-05,ほぼ新品,87,97,80289
R00002,P01981,MC-2204-1981,ファッション,1,site_A,2026-01-04,新品,44,40,9927
R00003,P00800,MC-1625-0800,ホビー,0,site_B,2026-01-25,ほぼ新品,220,100,11694
R00004,P02102,MC-5451-2102,本・音楽,1,site_B,2025-11-11,新品,82,118,859
R00005,P01611,MC-2817-1611,スポーツ,0,site_C,2025-11-12,ほぼ新品,91,55,4366
R00006,P00299,MC-3212-0299,ホビー,0,site_B,2025-12-21,傷や汚れあり,44,62,5279
R00007,P00153,MC-8024-0153,家電,2,site_A,2025-12-10,傷や汚れあり,187,18,96453
R00008,P02083,MC-9767-2083,家電,0,site_A,2026-01-07,全体的に状態が悪い,70,35,6537
R00010,P01238,MC-6399-1238,ホビー,0,site_A,2026-01-19,傷や汚れあり,104,57,4496
R00011,P00719,MC-5990-0719,ファッション,1,site_D,2026-02-23,傷や汚れあり,104,53,3947
R00012,P01722,MC-7925-1722,家電,0,site_E,2026-02-20,新品,23,96,33260
R00013,P01067,MC-6244-1067,ファッション,0,site_C,2025-12-06,傷や汚れあり,223,49,7498
R00014,P01750,MC-6764-1750,ホビー,0,site_C,2025-10-05,新品,187,77,20289
R00015,P01727,MC-7058-1727,家電,1,site_B,2025-11-18,新品,118,20,92373
R00016,P01447,MC-2782-1447,ホビー,2,site_E,2026-02-12,ほぼ新品,222,82,52557
R00018,P01504,MC-7570-1504,ファッション,1,site_B,2025-12-23,傷や汚れあり,254,27,4123
R00021,P02015,MC-4726-2015,ファッション,0,site_E,2026-01-18,ほぼ新品,229,65,6612
R00022,P01144,MC-9969-1144,本・音楽,1,site_D,2025-11-30,ほぼ新品,51,33,3398
R00023,P00603,MC-4268-0603,スポーツ,1,site_E,2026-02-09,新品,274,45,12365
R00024,P01948,MC-1823-1948,スポーツ,0,site_C,2025-12-18,傷や汚れあり,77,112,4229
