passage_id,product_key,model,category,brand,section,text
K00000,P0000,A495-B,ワイヤレスイヤホン,ノースピーク,仕様,A495-B の重量は 225 グラムです。
K00001,P0000,A495-B,ワイヤレスイヤホン,ノースピーク,保証,A495-B のメーカー保証期間は 24 か月です。
K00002,P0000,A495-B,ワイヤレスイヤホン,ノースピーク,付属品,A495-B には専用ケースと充電ケーブルが 3 本同梱されます。
K00003,P0000,A495-B,ワイヤレスイヤホン,ノースピーク,注意事項,A495-B は開封後 14 日以内であれば返品を受け付けます。
K00004,P0001,A495-C,腕時計,アカネ電機,仕様,A495-C の重量は 149 グラムです。
K00005,P0001,A495-C,腕時計,アカネ電機,保証,A495-C のメーカー保証期間は 36 か月です。
K00006,P0001,A495-C,腕時計,アカネ電機,付属品,A495-C には専用ケースと充電ケーブルが 2 本同梱されます。
K00007,P0001,A495-C,腕時計,アカネ電機,注意事項,A495-C は開封後 14 日以内であれば返品を受け付けます。
K00008,P0002,B251-B,掃除機,ハヤブサ,仕様,B251-B の重量は 290 グラムです。
K00009,P0002,B251-B,掃除機,ハヤブサ,保証,B251-B のメーカー保証期間は 24 か月です。
K00010,P0002,B251-B,掃除機,ハヤブサ,付属品,B251-B には専用ケースと充電ケーブルが 1 本同梱されます。
K00011,P0002,B251-B,掃除機,ハヤブサ,注意事項,B251-B は開封後 30 日以内であれば返品を受け付けます。
K00012,P0003,B251-C,掃除機,ミドリワークス,仕様,B251-C の重量は 200 グラムです。
K00013,P0003,B251-C,掃除機,ミドリワークス,保証,B251-C のメーカー保証期間は 6 か月です。
K00014,P0003,B251-C,掃除機,ミドリワークス,付属品,B251-C には専用ケースと充電ケーブルが 1 本同梱されます。
K00015,P0003,B251-C,掃除機,ミドリワークス,注意事項,B251-C は開封後 14 日以内であれば返品を受け付けます。
K00016,P0004,C427-B,ワイヤレスイヤホン,ミドリワークス,仕様,C427-B の重量は 430 グラムです。
K00017,P0004,C427-B,ワイヤレスイヤホン,ミドリワークス,保証,C427-B のメーカー保証期間は 12 か月です。
K00018,P0004,C427-B,ワイヤレスイヤホン,ミドリワークス,付属品,C427-B には専用ケースと充電ケーブルが 2 本同梱されます。
K00019,P0004,C427-B,ワイヤレスイヤホン,ミドリワークス,注意事項,C427-B は開封後 30 日以内であれば返品を受け付けます。
K00020,P0005,C427-C,掃除機,ノースピーク,仕様,C427-C の重量は 365 グラムです。
K00021,P0005,C427-C,掃除機,ノースピーク,保証,C427-C のメーカー保証期間は 24 か月です。
K00022,P0005,C427-C,掃除機,ノースピーク,付属品,C427-C には専用ケースと充電ケーブルが 3 本同梱されます。
K00023,P0005,C427-C,掃除機,ノースピーク,注意事項,C427-C は開封後 30 日以内であれば返品を受け付けます。
K00024,P0006,D342-B,ワイヤレスイヤホン,ミドリワークス,仕様,D342-B の重量は 407 グラムです。
K00025,P0006,D342-B,ワイヤレスイヤホン,ミドリワークス,保証,D342-B のメーカー保証期間は 36 か月です。
K00026,P0006,D342-B,ワイヤレスイヤホン,ミドリワークス,付属品,D342-B には専用ケースと充電ケーブルが 3 本同梱されます。
K00027,P0006,D342-B,ワイヤレスイヤホン,ミドリワークス,注意事項,D342-B は開封後 8 日以内であれば返品を受け付けます。
K00028,P0007,D342-C,掃除機,アカネ電機,仕様,D342-C の重量は 219 グラムです。
K00029,P0007,D342-C,掃除機,アカネ電機,保証,D342-C のメーカー保証期間は 24 か月です。
K00030,P0007,D342-C,掃除機,アカネ電機,付属品,D342-C には専用ケースと充電ケーブルが 1 本同梱されます。
K00031,P0007,D342-C,掃除機,アカネ電機,注意事項,D342-C は開封後 14 日以内であれば返品を受け付けます。
K00032,P0008,E722-B,腕時計,ハヤブサ,仕様,E722-B の重量は 340 グラムです。
K00033,P0008,E722-B,腕時計,ハヤブサ,保証,E722-B のメーカー保証期間は 18 か月です。
