token,sense_group
重量,0
重さ,0
グラム,0
梱包,0
保証,1
サポート,1
か月,1
期間,1
延長,1
付属,2
同梱,2
ケーブル,2
コード,2
本,2
ケース,2
色,2
返品,3
返送,3
日以内,3
開封,3
送料,3
消費電力,4
ワット,4
A495-B,100
A495-C,101
B251-B,102
B251-C,103
C427-B,104
C427-C,105
D342-B,106
D342-C,107
E722-B,108
E722-C,109
F863-B,110
F863-C,111
G926-B,112
G926-C,113
H948-B,114
H948-C,115
I416-B,116
I416-C,117
J455-B,118
J455-C,119
K187-B,120
K187-C,121
L419-B,122
L419-C,123
M242-B,124
M242-C,125
N185-B,126
N185-C,127
O924-B,128
O924-C,129
P944-B,130
P944-C,131
Q104-B,132
Q104-C,133
R567-B,134
R567-C,135
S416-B,136
S416-C,137
T559-B,138
T559-C,139
U944-B,140
U944-C,141
V898-B,142
V898-C,143
W366-B,144
W366-C,145
X328-B,146
X328-C,147
Y859-B,148
Y859-C,149
Z456-B,150
Z456-C,151
A284-B,152
A284-C,153
B566-B,154
B566-C,155
C819-B,156
C819-C,157
D414-B,158
D414-C,159
E704-B,160
E704-C,161
F953-B,162
F953-C,163
G624-B,164
G624-C,165
H907-B,166
H907-C,167
I458-B,168
I458-C,169
J556-B,170
J556-C,171
K454-B,172
K454-C,173
L745-B,174
L745-C,175
M468-B,176
M468-C,177
N785-B,178
N785-C,179
O983-B,180
O983-C,181
P102-B,182
P102-C,183
Q362-B,184
Q362-C,185
R467-B,186
R467-C,187
S959-B,188
S959-C,189
T198-B,190
T198-C,191
U662-B,192
U662-C,193
V114-B,194
V114-C,195
W308-B,196
W308-C,197
X983-B,198
X983-C,199
Y812-B,200
Y812-C,201
Z460-B,202
Z460-C,203
A634-B,204
A634-C,205
B401-B,206
B401-C,207
C520-B,208
C520-C,209
D114-B,210
D114-C,211
E795-B,212
E795-C,213
F439-B,214
F439-C,215
G812-B,216
G812-C,217
H357-B,218
H357-C,219
I362-B,220
I362-C,221
J532-B,222
J532-C,223
K765-B,224
K765-C,225
L418-B,226
L418-C,227
M735-B,228
M735-C,229
N425-B,230
N425-C,231
O372-B,232
O372-C,233
P283-B,234
P283-C,235
Q946-B,236
Q946-C,237
R433-B,238
R433-C,239
S148-B,240
S148-C,241
T359-B,242
T359-C,243
U344-B,244
U344-C,245
V569-B,246
V569-C,247
W962-B,248
W962-C,249
X121-B,250
X121-C,251
Y285-B,252
Y285-C,253
Z166-B,254
Z166-C,255
A886-B,256
A886-C,257
B994-B,258
B994-C,259
C997-B,260
C997-C,261
D826-B,262
D826-C,263
E284-B,264
E284-C,265
F467-B,266
F467-C,267
G758-B,268
G758-C,269
H421-B,270
H421-C,271
I468-B,272
I468-C,273
J914-B,274
J914-C,275
K431-B,276
K431-C,277
L619-B,278
L619-C,279
