record_id,title,brand,model_code,color,bio,target
T00800,ハヤブサ 冷蔵庫 ホワイト Y487-14,ハヤブサ,Y487-14,ホワイト,B-BRAND I-BRAND I-BRAND I-BRAND O O O O O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,ハヤブサ|Y487-14|ホワイト
T00801,ネイビーTSUBAKIL41811腕時計,TSUBAKI,L418-11,ネイビー,B-COLOR I-COLOR I-COLOR I-COLOR B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O,TSUBAKI|L418-11|ネイビー
T00802,ノートパソコン シルバー Ｘ８７５－４６ ゲンブ,ゲンブ,X875-46,シルバー,O O O O O O O O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-BRAND I-BRAND I-BRAND,ゲンブ|X875-46|シルバー
T00803,ネイビーノートパソコンＹ３７９－２６ノースピーク,ノースピーク,Y379-26,ネイビー,B-COLOR I-COLOR I-COLOR I-COLOR O O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND,ノースピーク|Y379-26|ネイビー
T00804,洗濯機 レッド Ｔ６８２４９,,T682-49,レッド,O O O O B-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,|T682-49|レッド
T00805,オオゾラ ネイビー K81769 冷蔵庫,オオゾラ,K817-69,ネイビー,B-BRAND I-BRAND I-BRAND I-BRAND O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O,オオゾラ|K817-69|ネイビー
T00806,グリーン冷蔵庫E947-81,,E947-81,グリーン,B-COLOR I-COLOR I-COLOR I-COLOR O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,|E947-81|グリーン
T00807,スニーカー ハヤブサ ブラック Ｐ２９３４８,ハヤブサ,P293-48,ブラック,O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,ハヤブサ|P293-48|ブラック
T00808,★新品未使用★腕時計 KURO T33520 ブラック,KURO,T335-20,ブラック,O O O O O O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR,KURO|T335-20|ブラック
T00809,レッドZ782-32腕時計,,Z782-32,レッド,B-COLOR I-COLOR I-COLOR B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O,|Z782-32|レッド
T00810,D69611 オオゾラ グリーン デイパック,オオゾラ,D696-11,グリーン,B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-BRAND I-BRAND I-BRAND I-BRAND O B-COLOR I-COLOR I-COLOR I-COLOR O O O O O O,オオゾラ|D696-11|グリーン
T00811,Y24528オオゾラレッドデイパック,オオゾラ,Y245-28,レッド,B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL B-BRAND I-BRAND I-BRAND I-BRAND B-COLOR I-COLOR I-COLOR O O O O O,オオゾラ|Y245-28|レッド
T00812,オオゾラ B49913 ブラック 掃除機,オオゾラ,B499-13,ブラック,B-BRAND I-BRAND I-BRAND I-BRAND O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR I-COLOR O O O O,オオゾラ|B499-13|ブラック
T00813,冷蔵庫 レッド Y382-44 ノーピスーク,ノースピーク,Y382-44,レッド,O O O O B-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O O O O,ノースピーク|Y382-44|レッド
T00814,★新品未使用★ブラック デイパック A946-20,,A946-20,ブラック,O O O O O O O B-COLOR I-COLOR I-COLOR I-COLOR O O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL,|A946-20|ブラック
T00815,【送料無料】TSUBAKI ホワイト D149-16 掃除機,TSUBAKI,D149-16,ホワイト,O O O O O O B-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND I-BRAND O B-COLOR I-COLOR I-COLOR I-COLOR O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O,TSUBAKI|D149-16|ホワイト
T00816,H793-88 洗濯機 グリーン,,H793-88,グリーン,B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O O O B-COLOR I-COLOR I-COLOR I-COLOR,|H793-88|グリーン
T00817,シラユキＶ９５９－７８腕時計レッド,シラユキ,V959-78,レッド,B-BRAND I-BRAND I-BRAND I-BRAND B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O O O B-COLOR I-COLOR I-COLOR,シラユキ|V959-78|レッド
T00818,【即日発送】KRO イヤホン Ｏ８４５－４９ レッド,KURO,O845-49,レッド,O O O O O O O O O O O O O O O B-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL I-MODEL O B-COLOR I-COLOR I-COLOR,KURO|O845-49|レッド
